ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
12562,M,BLACK,48 or older,FALSE,2,Specialized,Less than HS diploma,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,5 or more,1,FALSE,TRUE,2,4 or more,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,104,0,0,0,0,0.283653846,1,FALSE,1
3792,M,BLACK,48 or older,FALSE,2,Standard,At least some college,0,Violent/Non-Sex,1-2 years,10 or more,6 or more,3 or more,3,1,5 or more,TRUE,FALSE,2,4 or more,TRUE,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,,,,,,0,0,TRUE,0
22300,M,WHITE,48 or older,FALSE,2,Standard,At least some college,1,Property,Greater than 2 to 3 years,2,0,0,2,0,0,FALSE,FALSE,1,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,,0,0,0,0.050000001,0,0,FALSE,0
3981,M,WHITE,43-47,FALSE,2,Standard,At least some college,2,Violent/Non-Sex,Less than 1 year,7,6 or more,3 or more,5 or more,1,5 or more,TRUE,FALSE,1,4 or more,TRUE,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,0,0,0,98.25,0,0,0,0,0,0,FALSE,0
25899,M,BLACK,43-47,FALSE,2,Standard,At least some college,3 or more,Drug,Less than 1 year,1,0,0,0,1,0,FALSE,FALSE,0,0,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,10 or more,0,0,25.6,0,0,0,0,0.921875,1,FALSE,1
16321,M,BLACK,48 or older,FALSE,2,Standard,At least some college,3 or more,Other,Less than 1 year,7,6 or more,2,5 or more,0,0,FALSE,FALSE,2,4 or more,TRUE,3 or more,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,6,0,0,24.86666667,0,0,0,0,0,0,FALSE,0
5019,M,WHITE,48 or older,FALSE,2,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,3,6 or more,1,0,2,1,FALSE,FALSE,0,1,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,10 or more,0,2,126.25,0,0,0,0,0.352475248,0.723267327,FALSE,0
2796,M,WHITE,43-47,FALSE,2,Standard,High School Diploma,0,Drug,Less than 1 year,10 or more,6 or more,0,5 or more,5 or more,5 or more,FALSE,FALSE,2,4 or more,FALSE,1,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,,,,,,0,0,FALSE,1
4675,M,BLACK,48 or older,FALSE,2,Standard,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,4,6 or more,3 or more,1,0,4,TRUE,FALSE,2,2,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 or more,0,0,0,66.3,0.200000003,0.100000001,0,0,0.944193062,0.550904977,FALSE,0
20112,M,BLACK,48 or older,FALSE,2,Standard,High School Diploma,3 or more,Drug,Greater than 2 to 3 years,1,0,0,0,1,0,FALSE,FALSE,1,0,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,5,0,1,39.95652174,0,0,0,0,0.512513602,0.397442873,FALSE,0
5494,M,BLACK,43-47,FALSE,2,Standard,High School Diploma,3 or more,Other,Less than 1 year,3,6 or more,0,1,0,5 or more,FALSE,FALSE,3 or more,3,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,122.4,0,0,0,0,1,0.596813725,FALSE,1
23085,M,WHITE,48 or older,FALSE,2,Standard,High School Diploma,3 or more,Property,Less than 1 year,4,6 or more,0,2,1,1,FALSE,FALSE,3 or more,4 or more,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,90,0,0,0,0,0.988888889,1,TRUE,0
22097,M,BLACK,48 or older,FALSE,2,Standard,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,2,2,2,0,0,1,TRUE,FALSE,1,1,TRUE,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,1,216.3333333,0,0,0,0,0.859784284,0.562788906,FALSE,1
10183,M,WHITE,48 or older,FALSE,2,Standard,Less than HS diploma,0,Other,Less than 1 year,7,6 or more,0,4,4,0,FALSE,FALSE,2,3,FALSE,3 or more,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,10.6,0,0,0,0,0,0,FALSE,1
2998,M,BLACK,48 or older,FALSE,2,Standard,Less than HS diploma,0,Property,Less than 1 year,8,2,1,3,4,1,FALSE,FALSE,3 or more,2,TRUE,2,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,39.81818182,0,0,0,0,1,1.667808219,FALSE,0
8601,M,BLACK,48 or older,FALSE,2,Standard,Less than HS diploma,0,Property,Less than 1 year,10 or more,5,2,5 or more,4,5 or more,FALSE,FALSE,3 or more,1,TRUE,3 or more,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,185.5,0,0,0,0,0.018867925,0.984501348,FALSE,1
5150,M,WHITE,48 or older,FALSE,2,Standard,Less than HS diploma,2,Violent/Non-Sex,1-2 years,7,3,3 or more,0,2,0,TRUE,FALSE,2,2,TRUE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,187.6666667,0,0,0,0,0.923623446,0.648756661,FALSE,0
6568,M,WHITE,38-42,FALSE,3,Specialized,At least some college,2,Violent/Sex,1-2 years,7,1,0,0,0,4,FALSE,FALSE,2,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,18,0,0,0,0,1,2,FALSE,0
3567,M,BLACK,48 or older,FALSE,3,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,3,0,2,FALSE,TRUE,1,4 or more,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,3 or more,168.25,0,0,0,0,0.87667162,0.542719168,FALSE,1
2969,M,BLACK,48 or older,FALSE,3,Specialized,At least some college,3 or more,Violent/Sex,More than 3 years,3,2,3 or more,1,1,0,FALSE,TRUE,0,0,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4 or more,6,0,3 or more,68.28571429,0.071428575,0,0,0,0.99790795,0.764121339,TRUE,1
3052,M,WHITE,48 or older,FALSE,3,Specialized,High School Diploma,0,Property,More than 3 years,3,1,2,2,0,0,FALSE,FALSE,2,0,TRUE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,10 or more,2,2,97.625,0,0,0,0,0.982074264,0.935339309,TRUE,1
379,M,BLACK,33-37,FALSE,3,Specialized,High School Diploma,3 or more,Drug,Less than 1 year,6,1,1,1,3,2,FALSE,FALSE,3 or more,0,FALSE,0,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,8,1,0,21.05,0,0,0,0,0,0,TRUE,1
9531,M,BLACK,48 or older,FALSE,3,Specialized,High School Diploma,3 or more,Violent/Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,5 or more,0,FALSE,FALSE,3 or more,2,TRUE,3 or more,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,5,1,1,35.85714286,0,0,0,0,0,0,TRUE,1
5514,M,WHITE,48 or older,FALSE,3,Standard,At least some college,0,Other,1-2 years,8,6 or more,3 or more,4,0,5 or more,FALSE,FALSE,2,4 or more,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,,,,,,0,0,TRUE,1
24071,M,WHITE,43-47,FALSE,3,Standard,At least some college,0,Other,Less than 1 year,3,3,1,2,0,0,FALSE,TRUE,0,2,TRUE,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4 or more,0,0,1,49.5,0,0,0.25,0,0,0,FALSE,1
4432,M,BLACK,48 or older,FALSE,3,Standard,At least some college,1,Property,Less than 1 year,10 or more,6 or more,1,5 or more,5 or more,5 or more,FALSE,TRUE,3 or more,4 or more,FALSE,3 or more,2 or more,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,2,421.5,0,0,0,0,0,0,FALSE,1
12886,M,BLACK,38-42,FALSE,3,Standard,At least some college,1,Violent/Non-Sex,Less than 1 year,8,6 or more,3 or more,3,1,5 or more,TRUE,TRUE,0,4 or more,TRUE,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,34.45454545,0,0,0,0,1,1.927440633,FALSE,0
12195,M,BLACK,43-47,FALSE,3,Standard,At least some college,2,Violent/Non-Sex,Less than 1 year,8,6 or more,3 or more,1,0,3,FALSE,FALSE,1,4 or more,TRUE,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,183,0,0,0,0,0.770491803,0.99795082,FALSE,0
4179,M,WHITE,33-37,FALSE,3,Standard,At least some college,3 or more,Other,Less than 1 year,5,6 or more,0,0,2,5 or more,FALSE,FALSE,3 or more,4 or more,FALSE,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,2,FALSE,0
5574,M,BLACK,43-47,FALSE,3,Standard,At least some college,3 or more,Property,1-2 years,9,3,2,5 or more,0,0,TRUE,FALSE,2,1,FALSE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,0,0,0,97.23076923,0,0,0,0,0.861550633,0.288963608,FALSE,0
16731,M,BLACK,43-47,FALSE,3,Standard,At least some college,3 or more,Property,1-2 years,7,4,0,5 or more,0,1,FALSE,FALSE,2,1,FALSE,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,0.522532189,FALSE,0
16301,M,BLACK,43-47,FALSE,3,Standard,At least some college,3 or more,Property,Greater than 2 to 3 years,6,3,0,1,2,5 or more,FALSE,FALSE,3 or more,1,FALSE,1,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,2,297.6666667,0,0,0,0,0.632138858,0.204507279,FALSE,0
14062,M,BLACK,48 or older,FALSE,3,Standard,At least some college,3 or more,Property,Less than 1 year,10 or more,6 or more,1,5 or more,4,5 or more,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,29.16666667,0,0,0,0,0.462857143,1,TRUE,1
5237,M,WHITE,48 or older,FALSE,3,Standard,At least some college,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,3,2,1,1,1,0,FALSE,FALSE,1,2,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,80.5,0,0,0,0,0.844720497,0.75621118,FALSE,0
25908,M,BLACK,43-47,FALSE,3,Standard,High School Diploma,0,Property,1-2 years,1,0,0,1,0,0,FALSE,FALSE,0,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,247.4,0,0,0,0,0.179466451,0.295270816,FALSE,1
4547,M,BLACK,48 or older,FALSE,3,Standard,High School Diploma,0,Property,Less than 1 year,6,0,0,1,4,0,FALSE,FALSE,1,1,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,69.5,0,0,0,0,0.151079137,0.875899281,FALSE,1
10934,M,WHITE,48 or older,FALSE,3,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,6 or more,1,5 or more,5 or more,4,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,2 or more,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,125.6666667,0,0,0,0,0.283819629,0.968832891,FALSE,1
3512,M,BLACK,48 or older,FALSE,3,Standard,High School Diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,2,5 or more,TRUE,FALSE,3 or more,4 or more,TRUE,3 or more,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,6,2,3 or more,50.5,0,0,0,0,1,2,FALSE,1
5904,M,BLACK,33-37,FALSE,3,Standard,High School Diploma,0,Violent/Non-Sex,Less than 1 year,6,1,0,0,4,2,TRUE,FALSE,1,0,FALSE,0,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,1,FALSE,0
397,M,WHITE,48 or older,FALSE,3,Standard,High School Diploma,1,Drug,Less than 1 year,10 or more,6 or more,0,5 or more,4,5 or more,FALSE,FALSE,2,4 or more,FALSE,0,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,6,0,0,9.416666667,0,0.0625,0.041666668,0.020833334,0,0,FALSE,1
16302,M,BLACK,33-37,FALSE,3,Standard,High School Diploma,1,Other,Less than 1 year,3,2,0,0,1,0,FALSE,TRUE,1,1,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,2,88.47058824,0,0,0,0,0.845079787,0.728557181,FALSE,0
5218,M,BLACK,38-42,FALSE,3,Standard,High School Diploma,1,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,2,2,FALSE,FALSE,3 or more,4 or more,TRUE,3 or more,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,3 or more,0,33,0,0,0,0,0,0,FALSE,1
6347,M,BLACK,43-47,FALSE,3,Standard,High School Diploma,1,Property,More than 3 years,10 or more,2,1,5 or more,1,1,FALSE,FALSE,3 or more,2,FALSE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,71.66666667,0,0,0,0,0.586046512,1,FALSE,0
18855,M,BLACK,48 or older,FALSE,3,Standard,High School Diploma,2,Property,1-2 years,1,0,0,1,0,0,FALSE,FALSE,1,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,10 or more,0,2,186.6,0.200000003,0,0,0,0,0,TRUE,1
2990,M,WHITE,48 or older,FALSE,3,Standard,High School Diploma,2,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,1,TRUE,FALSE,3 or more,1,TRUE,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10 or more,3 or more,3 or more,18.81818182,0,0,0,0,0.987922705,0.882246377,FALSE,0
13957,M,BLACK,28-32,FALSE,3,Standard,High School Diploma,2,Violent/Non-Sex,Less than 1 year,5,5,2,2,2,1,TRUE,TRUE,2,1,TRUE,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,10 or more,0,0,28,0,0,0,0,0,0,FALSE,0
24309,M,BLACK,43-47,FALSE,3,Standard,High School Diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,3 or more,3,5 or more,1,TRUE,TRUE,2,1,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,46.44444444,0,0,0,0,1,2.621411483,FALSE,0
26609,M,BLACK,33-37,FALSE,3,Standard,High School Diploma,3 or more,Other,Less than 1 year,6,6 or more,2,1,5 or more,2,FALSE,TRUE,2,3,TRUE,0,2 or more,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,56.2,0,0,0,0,0.455516014,1,FALSE,0
22487,M,BLACK,43-47,FALSE,3,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,2,5 or more,1,3,FALSE,TRUE,3 or more,3,TRUE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,0,0,0,186.5,0,0,0,0,0,0,FALSE,1
20994,M,WHITE,48 or older,FALSE,3,Standard,High School Diploma,3 or more,Property,Less than 1 year,0,1,0,0,0,0,FALSE,FALSE,0,1,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0.85989011,1,TRUE,0
413,M,BLACK,48 or older,FALSE,3,Standard,Less than HS diploma,0,Other,1-2 years,4,3,1,0,4,2,FALSE,TRUE,0,2,FALSE,1,2 or more,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,1,,,,,,0.97310757,0.363794821,TRUE,0
5126,M,WHITE,43-47,FALSE,3,Standard,Less than HS diploma,0,Property,1-2 years,4,4,1,4,1,1,FALSE,FALSE,3 or more,2,FALSE,3 or more,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,142.3333333,0,0,0,0,0,0,FALSE,0
17343,M,BLACK,48 or older,FALSE,3,Standard,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,1,5 or more,1,5 or more,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4 or more,10 or more,1,2,38.93181818,0.045454547,0.113636367,0,0,0.661996497,0.213222417,FALSE,0
25438,M,BLACK,38-42,FALSE,3,Standard,Less than HS diploma,0,Violent/Non-Sex,Greater than 2 to 3 years,1,0,1,0,0,0,FALSE,FALSE,0,0,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,59.9,0,0,0,0,0,0,FALSE,0
